ObjectId,Year,Fund,Workgroup,Organization,Program,Program_Summary,Amount_Requested,Amount_Funded,Amount_Spent
1061,2010,GF,HSF,Intercambio de Comunidades,El Grupo de Familias,,,12500,11805
1795,1996,GF,HSF,Family Learning Center,After School Program,,,16300,15588
1408,2001,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,32468,29976
1611,1999,GF,HSF,United Black Women of Boulder Valley,Institute for African American Leadership,,,9000,8378
84,2018,GF,HSF,Boulder County Care Connect,Safety Net and Community Outreach Services,"Food, healthcare, safety, and home improvement services for seniors and people with disabilities",25000,25000,22639
1442,2006,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,,11762,11094
486,2013,GF,YOP,New Vista High School,Natural Highs - Healthy Alternatives to Drugs  & Alcohol,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol.  Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",14981,,0
1599,2003,GF,HSF,Clinica Campesina Family Health Care Services,"Newborns, Infants and Toddlers",,,29103,26799
241,2018,GF,MLK,Motus Theater,UndocuAmerica: Special MLK Monologue Performance,,1000,500,471
852,2009,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,18497,18307
1296,2005,GF,HSF,Medicine Horse Program,Medicine Horse Youth Program,,,18737,17643
1902,1997,GF,HSF,Boulder County Head Start,Woodlands Toddler Program,,,30000,27386
1285,2007,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,27720,25244
308,2018,HEF,HEF,Boulder County Farmers Market,Farmers Market Food Assistance Incentives,"Funding will be used to increase access to Double Up Food Bucks (DUFB) and Women Infant and Child (WIC) farmers market vouchers for 1,400 low-income Boulder individuals and families. Additional funding will be used to support program staff managing the program, outreach and stipends for food assistance ambassadors.",64156,136156,122696
1300,2003,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,52845,48347
1579,2007,GF,YOP,Boulder County Partners,Partners One-to-One,,13200,9064,8222
1183,2009,GF,HSF,Intercambio de Comunidades,El Grupo de Familias,,,12500,12346
1288,2001,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,68830,63883
42,2019,GF,HSF,Mother House,Mother House,"Short term housing, basic needs, support obtaining public benefits & resources, physical & mental health care for at-risk pregnant women",10000,10000,9387
1732,1999,GF,HSF,Boulder County Public Health,Genesis,,,127076,118487
1071,2010,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,46260,45039
1581,2007,GF,YOP,Boulder Judo Training Center,Aim Higher,"Provide instructors, uniforms and other supplies for participants in sports-focused alternative community placement program for at-risk youth.",14330,8877,8229
1495,2004,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,23730,21439
64,2018,GF,HRF,Barrio E,World Drum Jam,,5000,2500,2494
905,2009,GF,HSF,Boulder Shelter for the Homeless,Housing First,,,10000,9302
682,2014,GF,CEF,Boulder Museum of Contemporary Art,Dia Del Nino,,1600,1600,1516
1189,2009,GF,HSF,Mental Health Partners,Psychiatric Emergency and Adult Services,,,180388,163241
1941,1996,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,,,12500,11738
1276,2007,GF,YOP,Mile High Youth Media,Mile High Youth Radio,,30000,0,0
686,2012,GF,CIF,Community Action Development Corporation,Getting Ahead: Life-Planning/Curriculum for Boulder Circles Campaign,,5000,4150,3904
1415,2001,GF,HSF,YWCA,Children's Alley,,,62830,61022
971,2009,GF,HSF,BV Women's Health Center,Youth Program,,,35000,32220
1431,2007,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,19604,19006
1451,2006,GF,HSF,Boulder Shelter for the Homeless,Boulder County Cares,,,12000,11733
605,2012,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,42000,41155
359,2016,GF,CoIH,Barrio E,Feel Puerto Rico!,,2500,2000,1835
1686,1995,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,40000,39037
1913,1997,GF,HSF,Boulder Valley School District,Teen Parent Program,,,17000,15392
1354,2006,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,29568,27145
1612,1999,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,11436,11403
656,2013,GF,HSF,Boulder Shelter for the Homeless,Transitional Housing,,,8000,7516
265,2017,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",0,25000,24546
1250,2005,GF,HSF,Clinica Campesina Family Health Care Services,"Pediatric, Adolescent and Teen Program",,,34765,31448
1432,2004,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,45965,41963
715,2015,GF,HSF,FOCUS Reentry,FOCUS Re-entry,Recruitment & training of new mentors,5000,0,0
984,2008,GF,HSF,Clinica Campesina Family Health Care Services,Primary Health Care for Low-Income,,,350000,327565
1213,2006,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,52799,50372
65,2018,GF,HRF,Boulder Dance Coalition,Boulder International Festival,,3000,2010,1986
1763,2000,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,40000,37728
868,2008,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,35000,34276
803,2010,GF,YOP,Boulder High School,"Sí, se puede!",,7542,7542,6853
1064,2010,GF,HSF,Mental Health Partners,Circulo de la Vida Familiar,,,67645,62896
1578,2007,GF,YOP,Boulder Community Media,Film and Video Production for Teens,,14210,14210,13803
99,2018,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,"Preschool with focus on English language learners & special needs children, parent education, referrals & resources",30000,30000,28430
918,2012,GF,YOP,OpenArts,Education Links Program,Sends visiting artists into BVSD art classes.,4500,0,0
324,2018,HEF,HEF,Growe Foundation,Growe Garden to Table Programs for At-Risk Boulder Elementary School Students,"Funding will be used to train interns to support program development and garden care at nine Boulder elementary schools (Columbine, Creekside, Uni Hill, Whittier, Crestview, Flatirons, Foothill, High Peaks and BCSIS). Staff will provide training workshops on garden care for parents, replace 14 garden beds and three irrigations systems, develop bi-lingual resources such as recipes and provide fruits and vegetables for school families. Additional funds will be used for program staff, garden supplies and evaluation.",27058,27058,25755
886,2008,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,18000,17255
892,2012,GF,YOP,Impact on Education,Key Players Music Mentoring Program,Expanding a program giving music classes in partnership with Dana V. Music in Lafayette into the City of Boulder.,14796,0,0
858,2008,GF,HSF,Attention Homes,Broadway Youth Shelter,,,19604,18494
290,2017,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,0,10000,9947
285,2017,GF,HSF,Community Action Development Corporation,Circles Campaign,,0,10000,9495
1786,1997,GF,HSF,Dental Aid,Children and Youth Oral Health,,,16500,15413
1145,2011,GF,YOP,Boulder Valley Women's Health Center,Sexual Health and AIDS Awareness Peer Education (SHAPE) Program,,14086,14086,13548
357,2016,GF,CIF,Out Boulder County,"Transgender Visibility Campaign - Photgrapher, staff time, printing",,1575,1575,1451
1313,2003,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,39123,37238
1844,1999,GF,HSF,Dental Aid,Children and Youth Oral Health,,,17241,16126
15,2019,GF,HSF,Center for People with Disabilities (CPWD),Core Services,"Independent living skills training, individuals & systems advocacy, peer support & transitions for individuals with disabilities",50000,35000,34775
1093,2008,GF,YOP,Medicine Horse Program,Equus Integration Program,,8310,0,0
702,2014,GF,CEF,Boulder Museum of Contemporary Art,Multi-Lingual Public Exhibition Tours,,1600,1600,1542
580,2012,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,22000,21693
752,2014,GF,HSF,Boulder County Public Health,Genesis,,,50000,47451
972,2011,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,46260,46196
32,2019,GF,HSF,Foothills United Way (FHUW),Personal Investment Program (PIE),"Financial education & asset-building with a matched savings account (for investment in education, business or home) for low-income families",147500,100000,93342
757,2014,GF,HSF,Boulder Shelter for the Homeless,Transitional Housing,,,10000,9383
1755,2000,GF,HSF,Clinica Campesina Family Health Care Services,"Pediatric, Adolescent and Teen Program",,,102775,102433
849,2009,GF,HSF,Boulder County Advocates for Transitional Housing,Transitional Housing (became part of Boulder Shelter for the Homeless),,,7500,7156
809,2010,GF,YOP,Boulder Valley Cycling Alliance and Trips for Kids Boulder,"School Bike Clubs, Middle Cross and Mountain Bike Ride Programs",,14360,4000,3805
785,2013,GF,YOP,Boulder Museum of Contemporary Art,The Studio Project and Art Lounge Program,Engage and connect middle and high school youth with contemporary art and visiting artists through leadership development and youth events.,11146,,0
709,2013,GF,HSF,Parenting Place,Family Strengthening Program,,,5000,4622
26,2019,GF,HSF,El Centro Amistad,El Centro Amistad,Support the promotores model to address behavioral health and provide parent education classes in the Latinx community,40000,0,0
1284,2003,GF,HSF,Dental Aid,Children and Youth Oral Health,,,19291,17807
831,2010,GF,YOP,New Vista High School,Natural Highs - Healthy Alternatives to Drugs  & Alcohol,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol.  Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",13083,9000,8200
1316,2002,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,25542,24366
1372,2001,GF,HSF,Clinica Campesina Family Health Care Services,"Pediatric, Adolescent and Teen Program",,,105858,100530
1886,1995,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,20000,18507
273,2017,GF,HSF,Boulder Outreach for Homeless Overflow,Emergency Warming Centers,,0,69750,69732
385,2016,GF,HSF,Bridge House,Employment Services and Ready to Work,,100000,50000,45593
939,2008,GF,YOP,Boulder Housing Partners,Broadway Community Center,,8372,0,0
166,2017,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,Facilitate the positive development of low-income youth by connecting them to experiences that will empower them to make positive choices for healthy lifestyle. Provide funds for access to outdoor recreation opportunities.,13760,11743,11042
949,2009,GF,YOP,Casey Middle School,Casey Cycling Club,,12732.82,0,0
331,2018,HEF,HEF,YWCA,Children's Alley Healthy Services,"Funding will be used to enhance the wellness and nutrition components of current child care programming, including an increase in staff hours for nutrition and wellness coordinators who prepare healthy meals and provide exercise and wellness activities for the students. Additional funding will be used to take students on field trips to local farms, purchase of kitchen equipment, food, evaluation and training.",59369,59369,58011
636,2013,GF,HSF,Medicine Horse Program,Medicine Horse Youth Program,,,11280,10968
778,2013,GF,YOP,"Boulder County Farmers' Market and Growing Up Boulder, University of Colo.",Youth Participation at the Boulder Farmers' Market,,15000,0,0
1505,2004,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,147308,133541
1768,2000,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,81113,77106
1405,2001,GF,HSF,Mental Health Partners,Multicultural Consultation Program,,,9400,8897
806,2010,GF,YOP,Boulder Judo Training Center,Aim Higher,"Provide instructors, uniforms and other supplies for participants in sports-focused alternative community placement program for at-risk youth.",29500,0,0
1199,2009,GF,YOP,Boulder County Partners,Partners One-to-One,,15000,0,0
998,2008,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,99213,92048
500,2013,GF,CEF,Barrio E,Bomba Dance and Theater - plan and promote,,1600,3000,2881
135,2019,HEF,HEF,Boulder Valley School District,Whittier International Elementary School,"Funding will be used to design school health policies and practices and coordinate healthy eating, health education and physical fitness activities for students.",123100,68100,63935
1397,2001,GF,HSF,Kellogg Child Development Center,Scholarship Program,,,29427,27870
430,2016,GF,YOP,New Vista High School,Natural Highs - Healthy Alternatives to Drugs  & Alcohol,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol. Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",14973,14973,14508
617,2012,GF,YOP,Boulder Museum of Contemporary Art,The Studio Project and Art Lounge Program,Engage and connect middle and high school youth with contemporary art and visiting artists through leadership development and youth events.,14371,7186,7013
1521,2002,GF,HSF,YWCA,Children's Alley,,,64715,60990
1903,1997,GF,HSF,Boulder County Housing and Human Services,Project Self-Sufficiency,,,12000,11077
1225,2005,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,16815,15958
1222,2005,GF,HSF,Attention Homes,Broadway Youth Shelter,,,19604,18539
1491,2004,GF,HSF,Boulder Day Nursery,Infant Early Learning Program,,,24196,22121
367,2016,GF,HSF,Association for Community Living,Adult Empowerment,"Basic needs assistance, referrals, mentorship & consultation & advocacy for individuals with developmental disabilities",10000,0,0
1370,2002,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,18488,17870
1079,2011,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,43432,41348
1147,2011,GF,YOP,Boulder Youth Body Alliance,Peer Education Program,"Training and Presentations related to eating disorder prevention, body image issues.",8037,0,0
53,2019,HEF,HEF,Thorne Ecological Institute,Nature Kids/Jovenes de la Naturaleza Boulder,"Funding will be used for outdoor recreation and nature education programs held at schools, city parks and open spaces, and on-site summer camp facilities for low-income city youth.",109079,0,0
1057,2010,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,56989,53831
975,2008,GF,HSF,BV Women's Health Center,Family Planning and Gyn,,,75000,72258
109,2017,GF,MLK,Second Baptist Church,Courageous CARE Panel,,465,465,426
1402,2001,GF,HSF,Mental Health Partners,Family and Community Child Care,,,27800,26002
1587,2007,GF,YOP,"Looking Glass Arts, Inc.",4 Week Video Filmmaking Adventure,,6165,0,0
71,2018,GF,HRF,Bridge House,Kids Give Back Thanksgiving Meal,,1500,1500,1384
1888,1995,GF,HSF,Boulder County Housing and Human Services,Project Self-Sufficiency,,,8000,7320
1430,2006,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,18497,18437
1385,2007,GF,HSF,BV Women's Health Center,Youth Program,,,30000,28123
876,2012,GF,YOP,Cal-Wood Education Center,Adventure Club,"Environmental field trips on Saturdays & holidays, mostly Casey students.",15000,7500,7490
3,2019,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case management, testing & counseling, health insurance access, housing & food",40000,40000,39077
93,2018,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,"Tutoring & direct instruction, college preparation, bilingual family outreach",62492,50000,48457
782,2013,GF,YOP,Boulder High School,Project Panther's Learning Gardens,,14775,,0
755,2014,GF,HSF,Boulder Housing Partners,1175 Lee Hill,,,33592,30727
1945,1996,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,15000,14091
319,2018,HEF,HEF,Community Cycles,Kids Holiday Bike Giveaway,Funding will be used to collect and distribute 500 bicycles to low-income Boulder youth. Safety gear and safe bicycle handling courses will be provided along with healthy food at monthly social rides for program participants. Additional funding will support program staff and program evaluation.,67200,67200,62635
649,2013,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,18497,18481
1778,2000,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Choices and Change,,,15965,14688
1633,1998,GF,HSF,BV Women's Health Center,Family Planning and Gyn,,,52217,49250
899,2009,GF,HSF,Boulder Day Nursery,Early Learning Program,,,62000,61125
351,2016,GF,CIF,Community Action Development Corporation,Creating Connections Nonprofit Focus Groups,,2304,2304,2150
507,2015,GF,YOP,EcoArts Connections,VideoLab,Provide staffing to support a once a week afterschool VideoLab project at Manhattan Middle School and Fairview High School.,14180,0,0
1722,1996,GF,HSF,Clinica Campesina Family Health Care Services,Eldercare,,,13000,12785
1540,2007,GF,HSF,Intercambio de Comunidades,Uniting Communities,,,30000,28068
805,2010,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,,32368,31569
1282,2005,GF,HSF,Intercambio de Comunidades,El Grupo de Familias,,,11797,11770
1796,1998,GF,HSF,Mental Health Partners,Middle Schools Family Counseling,,,63000,59500
1528,2003,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,28160,27610
1009,2009,GF,YOP,Community Action Development Corporation,Latina/o Life Skills-Casey Middle School,,7542,0,0
932,2008,GF,YOP,Boulder High School,"Sí, se puede!",,7564.64,7564,7143
670,2012,GF,CIF,"Americas for the Arts, Inc",Boulder Family Day - part of the Americas Latino Festival,,10000,8000,7497
1644,1998,GF,HSF,Clinica Campesina Family Health Care Services,Eldercare,,,13130,11871
27,2019,GF,HSF,Emergency Family Assistance Association,Basic Needs & Shelter Program,"Food pantry, short term & transitional housing, financial assistance & case mgmt",150000,150000,136581
12,2019,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,"Tutoring & direct instruction, college preparation, bilingual family outreach",54500,45000,42992
410,2016,GF,HSF,YWCA,Latina Achievement Support,During and after school programming for Latinas,30000,15000,14641
214,2018,GF,HSF,FOCUS Reentry,FOCUS Re-entry,Reentry and mentoring services to eligible inmates leaving the Boulder County Jail,10000,0,0
429,2016,GF,YOP,Mountain Flower Goat Dairy,Connecting Hands/Hooves,To provide the opportunity for entrepreneurship and increase employment skills for youth. Support for staffing and supplies.,15000,10120,9635
274,2017,GF,HSF,Boulder Shelter for the Homeless,Sheltering Programs,,0,120000,112017
1661,1995,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,5500,5063
1529,2007,GF,HSF,Emergency Family Assistance Association,Basic Needs,,,49010,45279
302,2017,GF,IPD,Boulder Friends Meeting,Toward Right Relationship with Native Peoples,,1100,300,294
1435,2004,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,25542,23573
208,2018,GF,HSF,Dental Aid,Safety Net Dental Services,Subsidized oral health care,140000,130000,118047
234,2018,GF,IPD,Boulder Valley IPD Organizing Committee,Indigenous Peoples Day Pow Wow,,1500,1500,1437
927,2009,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,43036,38906
36,2019,GF,HSF,Growing Gardens,Growing Gardens Food Project,"Fresh produce, garden supplies and free/reduced cost garden plots",10000,0,0
439,2015,GF,CEF,Intercambio de Comunidades,African Dance,,1500,1500,1459
931,2010,GF,HSF,Center for People with Disabilities (CPWD),Advocacy Program,,,5000,4723
807,2010,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,,8480,8734,8065
1628,1998,GF,HSF,Boulder Shelter for the Homeless,Basic Needs,,,25700,24482
349,2017,GF,HRF,Bridge House,Kids Give Back Thanksgiving Dinner,,1500,500,461
1923,1997,GF,HSF,Clinica Campesina Family Health Care Services,Eldercare,,,13000,11952
683,2012,GF,CIF,Boulder Museum of Contemporary Art,Dia Del Nino,,2800,1000,981
269,2017,GF,HSF,Boulder County Public Health,Genesis,,0,40000,38149
276,2017,GF,HSF,Boulder Valley School District,Teen Parent Program,,0,15000,14846
1794,1999,GF,HSF,Boulder Day Nursery,Infant Early Learning Program,,,21140,19088
492,2014,GF,YOP,Wildlands Restoration Volunteers,Youth Stewardship Program,"Support the Youth Steering Committee, High School Crew Leader Training and projects involving youth in outdoor stewardship and restoration.",14808,0,0
1251,2005,GF,HSF,Community Food Share,Food Procurement and Distribution,,,14703,13562
764,2015,GF,HSF,Mental Health Partners,Behavioral Health Services,,,350000,336616
150,2019,HEF,HEF,FC Boulder,2019 Youth Scholarships,Funds will provide scholarships to low-income city youth to participate in soccer teams; and staff administration and oversight of the scholarship program.,83982.8,40000,39149
489,2014,GF,HSF,El Centro Amistad,Compañeras Program,,,10000,9568
1075,2010,GF,YOP,Boulder County Partners,Partners One-to-One,,15000,15000,13891
